round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,dropout,pool_size,activation,losses
21,0.7615411013944889,0.7736202095216184,0.29081805888456735,0.9012865535697044,128,128,0.5,2,softmax,categorical_crossentropy
10,0.017339985563277753,0.10196445281534579,0.017313308878774532,0.11134502931296476,128,16,0.5,2,softmax,logcosh
17,0.927783068105351,0.7212348019301724,0.3689475884931978,0.8774269055901912,64,64,0.5,2,softmax,categorical_crossentropy
22,0.007292889934064469,0.7436856908899696,0.0024283152440854744,0.916959066924296,64,128,0.5,2,softmax,logcosh
15,0.6750580271556107,0.7764265705091692,0.31712070986967195,0.8970760270168907,64,128,0.5,2,softmax,categorical_crossentropy
17,0.8128421159553161,0.757717495827724,0.33865914151138893,0.8916959104656476,16,128,0.5,2,softmax,categorical_crossentropy
11,1.1310428649546354,0.702525728126906,0.3703003335518471,0.8930994168359634,128,16,0.0,2,relu,categorical_crossentropy
10,0.017341326033544942,0.10196445281534579,0.01731323249725222,0.11134502931296476,256,16,0.5,2,sigmoid,logcosh
11,0.01734273987007654,0.10196445281534579,0.017312656687191355,0.11134502931296476,256,64,0.5,2,sigmoid,logcosh
10,0.0173409006151504,0.10196445281534579,0.017313289027987865,0.11134502931296476,128,4,0.5,2,softmax,logcosh
15,2.931397660186739,0.10196445281534579,2.9052021863167745,0.11134502931296476,128,4,0.5,2,softmax,categorical_crossentropy
